variety,count
Pinot Noir,6896
Cabernet Sauvignon,5693
Chardonnay,5183
Zinfandel,2639
Syrah,1870
Sauvignon Blanc,1807
Red Blend,1804
Merlot,1391
Bordeaux-style Red Blend,876
Petite Sirah,694
Sparkling Blend,547
Rosé,513
Rhône-style Red Blend,499
Viognier,436
Grenache,373
Cabernet Franc,361
White Blend,361
Pinot Grigio,291
Riesling,262
Sangiovese,255
Malbec,202
Barbera,199
Pinot Gris,192
Meritage,184
Rhône-style White Blend,164
Gewürztraminer,140
Tempranillo,140
Mourvèdre,123
G-S-M,110
Petit Verdot,105
Albariño,101
Grenache Blanc,97
Moscato,93
Roussanne,93
Primitivo,79
Chenin Blanc,76
Fumé Blanc,65
Pinot Blanc,61
Champagne Blend,59
Port,55
Vermentino,37
Shiraz,37
Cabernet Sauvignon-Syrah,36
Sémillon,35
Nebbiolo,35
Tannat,33
Semillon-Sauvignon Blanc,31
Carignane,30
Muscat Canelli,29
Charbono,26
Marsanne,26
Grüner Veltliner,26
Syrah-Grenache,25
Verdelho,24
Grenache-Syrah,24
Dolcetto,24
Claret,22
Pinot Meunier,21
Sauvignon Blanc-Semillon,21
Cabernet Blend,20
Orange Muscat,18
Syrah-Cabernet Sauvignon,18
Bordeaux-style White Blend,18
Muscat,18
Cinsault,17
Cabernet Sauvignon-Merlot,17
Petite Verdot,14
Teroldego,14
Aglianico,14
Montepulciano,14
Arneis,13
Colombard,12
Chenin Blanc-Viognier,12
Touriga Nacional,12
Malvasia Bianca,12
Roussanne-Viognier,11
Muscat Blanc,10
Graciano,10
Syrah-Petite Sirah,10
Carignan,9
Fiano,9
Marsanne-Roussanne,9
Cabernet Sauvignon-Cabernet Franc,9
Garnacha,8
White Riesling,8
Merlot-Cabernet Sauvignon,8
Black Muscat,7
Mission,7
Syrah-Viognier,7
Pinotage,6
Alicante Bouschet,6
Tempranillo Blend,6
Valdiguié,6
Cabernet Franc-Merlot,6
Syrah-Tempranillo,6
Lagrein,6
Picpoul,6
Cabernet Sauvignon-Sangiovese,5
Pinot-Chardonnay,5
Chardonnay-Viognier,5
Merlot-Cabernet Franc,5
Torrontés,5
Tocai Friulano,5
Grenache-Mourvèdre,5
Sangiovese-Syrah,5
Dornfelder,5
Syrah-Cabernet Franc,4
Syrah-Cabernet,4
Grenache Blend,4
Monastrell,4
Sangiovese-Cabernet Sauvignon,4
Aligoté,4
Symphony,4
Syrah-Mourvèdre,4
Chardonnay-Semillon,3
Trousseau Gris,3
Carmenère,3
Verdejo,3
Counoise,3
Viognier-Roussanne,3
Sangiovese Cabernet,3
Ugni Blanc,3
Sagrantino,3
Mataro,3
Johannisberg Riesling,3
Edelzwicker,2
Sauvignon Gris,2
Scheurebe,2
Malbec-Syrah,2
Falanghina,2
Roussanne-Marsanne,2
Viognier-Grenache Blanc,2
Muscadine,2
Negrette,2
Souzao,2
Ribolla Gialla,2
Blaufränkisch,2
Chardonnay-Albariño,2
Grenache Noir,2
Sherry,2
Cortese,2
Muscat Hamburg,2
Rosato,2
Debit,2
Cabernet Merlot,2
Viognier-Chardonnay,2
Nero d'Avola,2
Black Monukka,2
Cabernet Pfeffer,2
Muscat Blanc à Petits Grains,1
Muskat,1
Alvarelhão,1
Clairette,1
Greco,1
Merlot-Malbec,1
Palomino,1
Marsanne-Viognier,1
Mourvèdre-Syrah,1
Refosco,1
Cabernet Sauvignon-Barbera,1
Sauvignon Musqué,1
Cabernet Sauvignon-Carmenère,1
Negroamaro,1
Syrah-Grenache-Viognier,1
Tempranillo-Cabernet Sauvignon,1
White Port,1
Cabernet Sauvignon-Shiraz,1
Syrah-Merlot,1
Syrah-Petit Verdot,1
Abouriou,1
Trebbiano,1
Pinot Nero,1
Semillon-Chardonnay,1
Cabernet Sauvignon-Tempranillo,1
Madeira Blend,1
Pinot Blanc-Viognier,1
Cabernet Sauvignon-Malbec,1
Moscato Giallo,1
Roussanne-Grenache Blanc,1
Cabernet-Shiraz,1
Gamay,1
Viognier-Marsanne,1
Tinta Madeira,1
Merlot-Cabernet,1
Cabernet,1
Kerner,1
Pinot Blanc-Chardonnay,1
Silvaner,1
Viognier-Valdiguié,1
Prosecco,1
Tannat-Syrah,1
Rosado,1
Muscat d'Alexandrie,1
Alvarinho,1
