,80290
country,France
description,"This ripe wine shows plenty of blackberry fruits balanced well with some dry tannins. It is fresh, juicy with plenty of acidity, For a light vintage, it's perfumed, full of fresh flavors and will be ready to drink from 2017."
designation,
points,88
price,3300.0
province,Bordeaux
region_1,Médoc
region_2,
taster_name,Roger Voss
taster_twitter_handle,@vossroger
title,Château les Ormes Sorbet 2013  Médoc
variety,Bordeaux-style Red Blend
winery,Château les Ormes Sorbet
